code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1999020001,Dallas Stars,6,Pittsburgh Penguins,4,Bill McCreary,Shane Heyer,Dallas Stars,Pittsburgh Penguins
1999020002,Edmonton Oilers,1,New York Rangers,1,Kerry Fraser,Dan Marouelli,Edmonton Oilers,New York Rangers
1999020003,Boston Bruins,1,Carolina Hurricanes,3,Brad Watson,Paul Devorski,Carolina Hurricanes,Boston Bruins
1999020004,Montréal Canadiens,1,Toronto Maple Leafs,4,Dan O'Halloran,Stephen Walkom,Toronto Maple Leafs,Montréal Canadiens
1999020005,Philadelphia Flyers,0,Ottawa Senators,3,Mark Faucette,Greg Kimmerly,Ottawa Senators,Philadelphia Flyers
1999020006,Atlanta Thrashers,1,New Jersey Devils,4,Terry Gregson,Jean Morin,New Jersey Devils,Atlanta Thrashers
1999020007,Tampa Bay Lightning,4,New York Islanders,2,Don Van Massenhoven,Tim Nowak,Tampa Bay Lightning,New York Islanders
1999020008,Florida Panthers,4,Washington Capitals,3,Paul Stewart,Gordon Broseker,Florida Panthers,Washington Capitals
1999020009,Detroit Red Wings,2,Buffalo Sabres,0,Robbie Shick,Scott Zelkin,Detroit Red Wings,Buffalo Sabres
1999020010,St. Louis Blues,1,Phoenix Coyotes,2,Richard Trottier,Kevin Maguire,Phoenix Coyotes,St. Louis Blues
1999020011,Nashville Predators,0,Los Angeles Kings,2,Bernard Degrace,Dave Jackson,Los Angeles Kings,Nashville Predators
1999020012,Dallas Stars,2,Anaheim Ducks,0,Bill McCreary,Mark Wheler,Dallas Stars,Anaheim Ducks
1999020013,Vancouver Canucks,2,New York Rangers,1,Kerry Fraser,Brad Lazarowich,Vancouver Canucks,New York Rangers
1999020014,San Jose Sharks,5,Calgary Flames,3,Don Koharski,Mike Leggo,San Jose Sharks,Calgary Flames
1999020015,Toronto Maple Leafs,4,Boston Bruins,0,Lance Roberts,Robbie Shick,Toronto Maple Leafs,Boston Bruins
1999020016,St. Louis Blues,2,Los Angeles Kings,3,Dave Jackson,Thor Nelson,Los Angeles Kings,St. Louis Blues
1999020017,San Jose Sharks,7,Chicago Blackhawks,1,Don Koharski,Don Henderson,San Jose Sharks,Chicago Blackhawks
1999020018,New York Rangers,1,Ottawa Senators,2,Don Van Massenhoven,Dennis LaRue,Ottawa Senators,New York Rangers
1999020019,Detroit Red Wings,2,Dallas Stars,3,Michael McGeough,Mark Faucette,Dallas Stars,Detroit Red Wings
1999020020,Nashville Predators,2,Colorado Avalanche,3,Blaine Angus,Mark Pare,Colorado Avalanche,Nashville Predators
1999020021,Phoenix Coyotes,4,Anaheim Ducks,0,Kerry Fraser,Don Henderson,Phoenix Coyotes,Anaheim Ducks
