code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2001030111,Boston Bruins,2,Montréal Canadiens,5,Shane Heyer,Bill McCreary,Montréal Canadiens,Boston Bruins
2001030112,Boston Bruins,6,Montréal Canadiens,4,Michael McGeough,Brad Watson,Boston Bruins,Montréal Canadiens
2001030113,Montréal Canadiens,5,Boston Bruins,3,Blaine Angus,Rob Shick,Montréal Canadiens,Boston Bruins
2001030114,Montréal Canadiens,2,Boston Bruins,5,Dave Jackson,Don Koharski,Boston Bruins,Montréal Canadiens
2001030115,Boston Bruins,1,Montréal Canadiens,2,Marc Joannette,Dan Marouelli,Montréal Canadiens,Boston Bruins
2001030116,Montréal Canadiens,2,Boston Bruins,1,Dan Marouelli,Kevin Pollock,Montréal Canadiens,Boston Bruins
2001030121,Philadelphia Flyers,1,Ottawa Senators,0,Bill McCreary,Brad Meier,Philadelphia Flyers,Ottawa Senators
2001030122,Philadelphia Flyers,0,Ottawa Senators,3,Blaine Angus,Rob Shick,Ottawa Senators,Philadelphia Flyers
2001030123,Ottawa Senators,3,Philadelphia Flyers,0,Mike Hasenfratz,Don Koharski,Ottawa Senators,Philadelphia Flyers
2001030124,Ottawa Senators,3,Philadelphia Flyers,0,Bill McCreary,Rob Shick,Ottawa Senators,Philadelphia Flyers
2001030125,Philadelphia Flyers,1,Ottawa Senators,2,Kerry Fraser,Dan O'Halloran,Ottawa Senators,Philadelphia Flyers
2001030131,Carolina Hurricanes,2,New Jersey Devils,1,Michael McGeough,Rob Shick,Carolina Hurricanes,New Jersey Devils
2001030132,Carolina Hurricanes,2,New Jersey Devils,1,Rob Shick,Brad Watson,Carolina Hurricanes,New Jersey Devils
2001030133,New Jersey Devils,4,Carolina Hurricanes,0,Dan Marouelli,Bill McCreary,New Jersey Devils,Carolina Hurricanes
2001030134,New Jersey Devils,3,Carolina Hurricanes,1,Dave Jackson,Dan Marouelli,New Jersey Devils,Carolina Hurricanes
2001030135,Carolina Hurricanes,3,New Jersey Devils,2,Kerry Fraser,Dan O'Halloran,Carolina Hurricanes,New Jersey Devils
2001030136,New Jersey Devils,0,Carolina Hurricanes,1,Mark Faucette,Don Van Massenhoven,Carolina Hurricanes,New Jersey Devils
2001030141,Toronto Maple Leafs,3,New York Islanders,1,Dan Marouelli,Don Van Massenhoven,Toronto Maple Leafs,New York Islanders
2001030142,Toronto Maple Leafs,2,New York Islanders,0,Dave Jackson,Don Koharski,Toronto Maple Leafs,New York Islanders
2001030143,New York Islanders,6,Toronto Maple Leafs,1,Shane Heyer,Bill McCreary,New York Islanders,Toronto Maple Leafs
2001030144,New York Islanders,4,Toronto Maple Leafs,3,Dan Marouelli,Brad Watson,New York Islanders,Toronto Maple Leafs
2001030145,Toronto Maple Leafs,6,New York Islanders,3,Paul Devorski,Kevin Pollock,Toronto Maple Leafs,New York Islanders
2001030146,New York Islanders,5,Toronto Maple Leafs,3,Paul Devorski,Kerry Fraser,New York Islanders,Toronto Maple Leafs
2001030147,Toronto Maple Leafs,4,New York Islanders,2,Don Koharski,Stephen Walkom,Toronto Maple Leafs,New York Islanders
2001030151,Detroit Red Wings,3,Vancouver Canucks,4,Dave Jackson,Don Koharski,Vancouver Canucks,Detroit Red Wings
2001030152,Detroit Red Wings,2,Vancouver Canucks,5,Mike Hasenfratz,Don Koharski,Vancouver Canucks,Detroit Red Wings
2001030153,Vancouver Canucks,1,Detroit Red Wings,3,Marc Joannette,Stephen Walkom,Detroit Red Wings,Vancouver Canucks
2001030154,Vancouver Canucks,2,Detroit Red Wings,4,Mark Faucette,Stephen Walkom,Detroit Red Wings,Vancouver Canucks
2001030155,Detroit Red Wings,4,Vancouver Canucks,0,Dan Marouelli,Brad Watson,Detroit Red Wings,Vancouver Canucks
2001030156,Vancouver Canucks,4,Detroit Red Wings,6,Bill McCreary,Michael McGeough,Detroit Red Wings,Vancouver Canucks
2001030161,Colorado Avalanche,4,Los Angeles Kings,3,Stephane Auger,Kerry Fraser,Colorado Avalanche,Los Angeles Kings
2001030162,Colorado Avalanche,5,Los Angeles Kings,3,Kerry Fraser,Dan O'Halloran,Colorado Avalanche,Los Angeles Kings
2001030163,Los Angeles Kings,3,Colorado Avalanche,1,Dennis LaRue,Don Van Massenhoven,Los Angeles Kings,Colorado Avalanche
2001030164,Los Angeles Kings,0,Colorado Avalanche,1,Michael McGeough,Don Van Massenhoven,Colorado Avalanche,Los Angeles Kings
2001030165,Colorado Avalanche,0,Los Angeles Kings,1,Mark Faucette,Stephen Walkom,Los Angeles Kings,Colorado Avalanche
2001030166,Los Angeles Kings,3,Colorado Avalanche,1,Dave Jackson,Stephen Walkom,Los Angeles Kings,Colorado Avalanche
2001030167,Colorado Avalanche,4,Los Angeles Kings,0,Bill McCreary,Michael McGeough,Colorado Avalanche,Los Angeles Kings
2001030171,San Jose Sharks,2,Phoenix Coyotes,1,Tim Peel,Stephen Walkom,San Jose Sharks,Phoenix Coyotes
2001030172,San Jose Sharks,1,Phoenix Coyotes,3,Mark Faucette,Stephen Walkom,Phoenix Coyotes,San Jose Sharks
2001030173,Phoenix Coyotes,1,San Jose Sharks,4,Stephane Auger,Paul Devorski,San Jose Sharks,Phoenix Coyotes
2001030174,Phoenix Coyotes,1,San Jose Sharks,2,Paul Devorski,Kevin Pollock,San Jose Sharks,Phoenix Coyotes
2001030175,San Jose Sharks,4,Phoenix Coyotes,1,Dennis LaRue,Rob Shick,San Jose Sharks,Phoenix Coyotes
2001030181,St. Louis Blues,1,Chicago Blackhawks,2,Paul Devorski,Kevin Pollock,Chicago Blackhawks,St. Louis Blues
2001030182,St. Louis Blues,2,Chicago Blackhawks,0,Paul Devorski,Dennis LaRue,St. Louis Blues,Chicago Blackhawks
2001030183,Chicago Blackhawks,0,St. Louis Blues,4,Kerry Fraser,Dan O'Halloran,St. Louis Blues,Chicago Blackhawks
2001030184,Chicago Blackhawks,0,St. Louis Blues,1,Kerry Fraser,Tim Peel,St. Louis Blues,Chicago Blackhawks
2001030185,St. Louis Blues,5,Chicago Blackhawks,3,Michael McGeough,Don Van Massenhoven,St. Louis Blues,Chicago Blackhawks
2001030211,Carolina Hurricanes,2,Montréal Canadiens,0,Kevin Pollock,Stephen Walkom,Carolina Hurricanes,Montréal Canadiens
2001030212,Carolina Hurricanes,1,Montréal Canadiens,4,Michael McGeough,Stephen Walkom,Montréal Canadiens,Carolina Hurricanes
2001030213,Montréal Canadiens,2,Carolina Hurricanes,1,Don Koharski,Don Van Massenhoven,Montréal Canadiens,Carolina Hurricanes
2001030214,Montréal Canadiens,3,Carolina Hurricanes,4,Kerry Fraser,Dave Jackson,Carolina Hurricanes,Montréal Canadiens
2001030215,Carolina Hurricanes,5,Montréal Canadiens,1,Paul Devorski,Brad Watson,Carolina Hurricanes,Montréal Canadiens
2001030216,Montréal Canadiens,2,Carolina Hurricanes,8,Kevin Pollock,Rob Shick,Carolina Hurricanes,Montréal Canadiens
2001030221,Toronto Maple Leafs,0,Ottawa Senators,5,Dan Marouelli,Michael McGeough,Ottawa Senators,Toronto Maple Leafs
2001030222,Toronto Maple Leafs,3,Ottawa Senators,2,Bill McCreary,Don Van Massenhoven,Toronto Maple Leafs,Ottawa Senators
