,Ref,Score,Team
0,Dan O'Rourke,2,Buffalo Sabres
1,Dan O'Rourke,2,Carolina Hurricanes
2,Don Koharski,2,Buffalo Sabres
3,Don Koharski,2,Carolina Hurricanes
4,Dan O'Halloran,4,Ottawa Senators
5,Dan O'Halloran,1,Toronto Maple Leafs
6,Eric Furlatt,4,Ottawa Senators
7,Eric Furlatt,1,Toronto Maple Leafs
8,Ian Walsh,2,Colorado Avalanche
9,Ian Walsh,3,Dallas Stars
10,Michael McGeough,2,Colorado Avalanche
11,Michael McGeough,3,Dallas Stars
12,Don VanMassenhoven,0,Ottawa Senators
13,Don VanMassenhoven,6,Toronto Maple Leafs
14,Stephane Auger,0,Ottawa Senators
15,Stephane Auger,6,Toronto Maple Leafs
16,Dan O'Halloran,5,New York Rangers
17,Dan O'Halloran,2,Washington Capitals
18,Eric Furlatt,5,New York Rangers
19,Eric Furlatt,2,Washington Capitals
20,Dan O'Rourke,2,Atlanta Thrashers
21,Dan O'Rourke,2,Tampa Bay Lightning
22,Dave Jackson,2,Atlanta Thrashers
23,Dave Jackson,2,Tampa Bay Lightning
24,Don Koharski,0,Philadelphia Flyers
25,Don Koharski,4,Pittsburgh Penguins
26,Greg Kimmerly,0,Philadelphia Flyers
27,Greg Kimmerly,4,Pittsburgh Penguins
28,Chris Rooney,1,Detroit Red Wings
29,Chris Rooney,3,Vancouver Canucks
30,Dennis LaRue,1,Detroit Red Wings
31,Dennis LaRue,3,Vancouver Canucks
32,Dean Warren,8,Chicago Blackhawks
33,Dean Warren,6,Nashville Predators
34,Tim Peel,8,Chicago Blackhawks
35,Tim Peel,6,Nashville Predators
36,Kelly Sutherland,2,Colorado Avalanche
37,Kelly Sutherland,3,Minnesota Wild
38,Rob Shick,2,Colorado Avalanche
39,Rob Shick,3,Minnesota Wild
40,Brad Watson,1,Calgary Flames
41,Brad Watson,3,Edmonton Oilers
42,Tom Kowal,1,Calgary Flames
43,Tom Kowal,3,Edmonton Oilers
44,Brad Meier,3,New York Islanders
45,Brad Meier,6,Phoenix Coyotes
46,Mike Hasenfratz,3,New York Islanders
47,Mike Hasenfratz,6,Phoenix Coyotes
48,Mike Leggo,5,San Jose Sharks
49,Mike Leggo,4,St. Louis Blues
50,Rob Martell,5,San Jose Sharks
51,Rob Martell,4,St. Louis Blues
52,Dave Jackson,0,Carolina Hurricanes
53,Dave Jackson,4,New Jersey Devils
54,Gord Dwyer,0,Carolina Hurricanes
55,Gord Dwyer,4,New Jersey Devils
56,Tim Peel,2,Columbus Blue Jackets
57,Tim Peel,3,Vancouver Canucks
58,Wes McCauley,2,Columbus Blue Jackets
59,Wes McCauley,3,Vancouver Canucks
60,Justin StPierre,3,Boston Bruins
61,Justin StPierre,8,Florida Panthers
62,Paul Devorski,3,Boston Bruins
63,Paul Devorski,8,Florida Panthers
64,Kevin Pollock,4,Buffalo Sabres
65,Kevin Pollock,4,Montréal Canadiens
66,Stephane Auger,4,Buffalo Sabres
67,Stephane Auger,4,Montréal Canadiens
68,Ian Walsh,4,Anaheim Ducks
69,Ian Walsh,3,Los Angeles Kings
70,Michael McGeough,4,Anaheim Ducks
71,Michael McGeough,3,Los Angeles Kings
72,Greg Kimmerly,2,Montréal Canadiens
73,Greg Kimmerly,2,Toronto Maple Leafs
74,Kevin Pollock,2,Montréal Canadiens
75,Kevin Pollock,2,Toronto Maple Leafs
76,Chris Lee,4,Buffalo Sabres
