,Ref,Score,Team
0,Francis Charron,0,Boston Bruins
1,Francis Charron,1,Detroit Red Wings
2,Paul Devorski,0,Boston Bruins
3,Paul Devorski,1,Detroit Red Wings
4,Chris Lee,4,Boston Bruins
5,Chris Lee,1,Detroit Red Wings
6,Francois St-Laurent,4,Boston Bruins
7,Francois St-Laurent,1,Detroit Red Wings
8,Kevin Pollock,3,Boston Bruins
9,Kevin Pollock,0,Detroit Red Wings
10,Marc Joannette,3,Boston Bruins
11,Marc Joannette,0,Detroit Red Wings
12,Brad Watson,3,Boston Bruins
13,Brad Watson,2,Detroit Red Wings
14,Justin St. Pierre ,3,Boston Bruins
15,Justin St. Pierre ,2,Detroit Red Wings
16,Dean Morton,4,Boston Bruins
17,Dean Morton,2,Detroit Red Wings
18,Steve Kozari,4,Boston Bruins
19,Steve Kozari,2,Detroit Red Wings
20,Dan O'Halloran,5,Montréal Canadiens
21,Dan O'Halloran,4,Tampa Bay Lightning
22,Gord Dwyer,5,Montréal Canadiens
23,Gord Dwyer,4,Tampa Bay Lightning
24,Chris Rooney,4,Montréal Canadiens
25,Chris Rooney,1,Tampa Bay Lightning
26,Tim Peel,4,Montréal Canadiens
27,Tim Peel,1,Tampa Bay Lightning
28,Francis Charron,3,Montréal Canadiens
29,Francis Charron,2,Tampa Bay Lightning
30,Paul Devorski,3,Montréal Canadiens
31,Paul Devorski,2,Tampa Bay Lightning
32,Chris Lee,4,Montréal Canadiens
33,Chris Lee,3,Tampa Bay Lightning
34,Francois St-Laurent,4,Montréal Canadiens
35,Francois St-Laurent,3,Tampa Bay Lightning
36,Eric Furlatt,3,Columbus Blue Jackets
37,Eric Furlatt,4,Pittsburgh Penguins
38,Wes McCauley,3,Columbus Blue Jackets
39,Wes McCauley,4,Pittsburgh Penguins
40,Dan O'Rourke,4,Columbus Blue Jackets
41,Dan O'Rourke,3,Pittsburgh Penguins
42,Dave Jackson,4,Columbus Blue Jackets
43,Dave Jackson,3,Pittsburgh Penguins
44,Dean Morton,3,Columbus Blue Jackets
45,Dean Morton,4,Pittsburgh Penguins
46,Steve Kozari,3,Columbus Blue Jackets
47,Steve Kozari,4,Pittsburgh Penguins
48,Dan O'Halloran,4,Columbus Blue Jackets
49,Dan O'Halloran,3,Pittsburgh Penguins
50,Gord Dwyer,4,Columbus Blue Jackets
51,Gord Dwyer,3,Pittsburgh Penguins
52,Chris Rooney,1,Columbus Blue Jackets
53,Chris Rooney,3,Pittsburgh Penguins
54,Tim Peel,1,Columbus Blue Jackets
55,Tim Peel,3,Pittsburgh Penguins
56,Kevin Pollock,3,Columbus Blue Jackets
57,Kevin Pollock,4,Pittsburgh Penguins
58,Marc Joannette,3,Columbus Blue Jackets
59,Marc Joannette,4,Pittsburgh Penguins
60,Dan O'Rourke,4,New York Rangers
61,Dan O'Rourke,1,Philadelphia Flyers
62,Dave Jackson,4,New York Rangers
63,Dave Jackson,1,Philadelphia Flyers
64,Eric Furlatt,2,New York Rangers
65,Eric Furlatt,4,Philadelphia Flyers
66,Wes McCauley,2,New York Rangers
67,Wes McCauley,4,Philadelphia Flyers
68,Francis Charron,4,New York Rangers
69,Francis Charron,1,Philadelphia Flyers
70,Paul Devorski,4,New York Rangers
71,Paul Devorski,1,Philadelphia Flyers
72,Dan O'Halloran,1,New York Rangers
73,Dan O'Halloran,2,Philadelphia Flyers
74,Gord Dwyer,1,New York Rangers
75,Gord Dwyer,2,Philadelphia Flyers
76,Brad Watson,4,New York Rangers
77,Brad Watson,2,Philadelphia Flyers
78,Justin St. Pierre ,4,New York Rangers
79,Justin St. Pierre ,2,Philadelphia Flyers
80,Dean Morton,2,New York Rangers
81,Dean Morton,5,Philadelphia Flyers
82,Steve Kozari,2,New York Rangers
83,Steve Kozari,5,Philadelphia Flyers
84,Chris Rooney,2,New York Rangers
85,Chris Rooney,1,Philadelphia Flyers
86,Tim Peel,2,New York Rangers
87,Tim Peel,1,Philadelphia Flyers
88,Dean Morton,5,Colorado Avalanche
89,Dean Morton,4,Minnesota Wild
90,Steve Kozari,5,Colorado Avalanche
91,Steve Kozari,4,Minnesota Wild
92,Kevin Pollock,4,Colorado Avalanche
93,Kevin Pollock,2,Minnesota Wild
94,Marc Joannette,4,Colorado Avalanche
95,Marc Joannette,2,Minnesota Wild
96,Brad Watson,0,Colorado Avalanche
