Year,Ref,Score,Team
1994,Bill McCreary,2,Buffalo Sabres
1994,Bill McCreary,1,New York Rangers
1994,Kevin Collins,2,Buffalo Sabres
1994,Kevin Collins,1,New York Rangers
1994,Dave Jackson,5,Pittsburgh Penguins
1994,Dave Jackson,3,Tampa Bay Lightning
1994,Gordon Broseker,5,Pittsburgh Penguins
1994,Gordon Broseker,3,Tampa Bay Lightning
1994,Faucette,1,Chicago Blackhawks
1994,Faucette,4,Detroit Red Wings
1994,G. Devorski,1,Chicago Blackhawks
1994,G. Devorski,4,Detroit Red Wings
1994,Kerry Fraser,3,Calgary Flames
1994,Kerry Fraser,3,Winnipeg Jets (1979)
1994,Mike Cvik,3,Calgary Flames
1994,Mike Cvik,3,Winnipeg Jets (1979)
1994,Andy McElman,1,Anaheim Ducks
1994,Andy McElman,2,Edmonton Oilers
1994,Richard Trottier,1,Anaheim Ducks
1994,Richard Trottier,2,Edmonton Oilers
1994,Devorsky,1,Dallas Stars
1994,Devorsky,1,Vancouver Canucks
1994,Wayne Bonney,1,Dallas Stars
1994,Wayne Bonney,1,Vancouver Canucks
1994,McCourt,2,San Jose Sharks
1994,McCourt,5,St. Louis Blues
1994,McGeough,2,San Jose Sharks
1994,McGeough,5,St. Louis Blues
1994,Don Koharski,3,Los Angeles Kings
1994,Don Koharski,3,Toronto Maple Leafs
1994,Ron Asselstine,3,Los Angeles Kings
1994,Ron Asselstine,3,Toronto Maple Leafs
1994,Paul Stewart,1,Hartford Whalers
1994,Paul Stewart,1,Washington Capitals
1994,Pierre Champoux,1,Hartford Whalers
1994,Pierre Champoux,1,Washington Capitals
1994,Don Van Massenhoven,1,Florida Panthers
1994,Don Van Massenhoven,2,New York Islanders
1994,Scott Driscoll,1,Florida Panthers
1994,Scott Driscoll,2,New York Islanders
1994,Kevin Collins,2,Montréal Canadiens
1994,Kevin Collins,5,New York Rangers
1994,Terry Gregson,2,Montréal Canadiens
1994,Terry Gregson,5,New York Rangers
1994,Brian Murphy,1,Philadelphia Flyers
1994,Brian Murphy,3,Quebec Nordiques
1994,D. Marouelli,1,Philadelphia Flyers
1994,D. Marouelli,3,Quebec Nordiques
1994,Mike Cvik,4,Anaheim Ducks
1994,Mike Cvik,3,Winnipeg Jets (1979)
1994,Richard Trottier,4,Anaheim Ducks
1994,Richard Trottier,3,Winnipeg Jets (1979)
1994,Koharski,7,St. Louis Blues
1994,Koharski,1,Vancouver Canucks
1994,Sharrers,7,St. Louis Blues
1994,Sharrers,1,Vancouver Canucks
1994,McCourt,3,San Jose Sharks
1994,McCourt,2,Toronto Maple Leafs
1994,Paul Devorski,3,San Jose Sharks
1994,Paul Devorski,2,Toronto Maple Leafs
1994,Brian Murphy,4,Boston Bruins
1994,Brian Murphy,1,Philadelphia Flyers
1994,Dan Marouelli,4,Boston Bruins
1994,Dan Marouelli,1,Philadelphia Flyers
1994,Pierre Champoux,2,Hartford Whalers
