code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
1994020001,New York Rangers,1,Buffalo Sabres,2,Bill McCreary,Kevin Collins,0,1
1994020002,Tampa Bay Lightning,3,Pittsburgh Penguins,5,Dave Jackson,Gordon Broseker,0,1
1994020003,Detroit Red Wings,4,Chicago Blackhawks,1,Faucette,G. Devorski,1,0
1994020004,Winnipeg Jets (1979),3,Calgary Flames,3,Kerry Fraser,Mike Cvik,0,0
1994020005,Edmonton Oilers,2,Anaheim Ducks,1,Richard Trottier,Andy McElman,1,0
1994020006,Vancouver Canucks,1,Dallas Stars,1,Devorsky,Wayne Bonney,0,0
1994020007,San Jose Sharks,2,St. Louis Blues,5,McGeough,McCourt,0,1
1994020008,Los Angeles Kings,3,Toronto Maple Leafs,3,Don Koharski,Ron Asselstine,0,0
1994020009,Hartford Whalers,1,Washington Capitals,1,Paul Stewart,Pierre Champoux,0,0
1994020010,New York Islanders,2,Florida Panthers,1,Don Van Massenhoven,Scott Driscoll,1,0
1994020011,New York Rangers,5,Montréal Canadiens,2,Terry Gregson,Kevin Collins,1,0
1994020012,Philadelphia Flyers,1,Quebec Nordiques,3,D. Marouelli,Brian Murphy,0,1
1994020013,Winnipeg Jets (1979),3,Anaheim Ducks,4,Richard Trottier,Mike Cvik,0,1
1994020014,Vancouver Canucks,1,St. Louis Blues,7,Koharski,Sharrers,0,1
1994020015,San Jose Sharks,3,Toronto Maple Leafs,2,Paul Devorski,McCourt,1,0
1994020016,Boston Bruins,4,Philadelphia Flyers,1,Dan Marouelli,Brian Murphy,1,0
1994020017,Hartford Whalers,2,New Jersey Devils,2,Stephen Walkom,Pierre Champoux,0,0
1994020018,New York Islanders,3,Ottawa Senators,3,Lance Roberts,Scott Driscoll,0,0
1994020019,Tampa Bay Lightning,2,Buffalo Sabres,5,Mark Faucette,Gordon Broseker,0,1
1994020020,Detroit Red Wings,1,Calgary Flames,4,Fraser,Finn,0,1
1994020021,Los Angeles Kings,3,Edmonton Oilers,4,Mike McGeough,Ron Asselstine,0,1
1994020022,New York Rangers,1,Boston Bruins,2,Andy van Hellemond,Leon Stickle,0,1
1994020023,Florida Panthers,5,Pittsburgh Penguins,6,Dave Jackson #8,Gord Broseker #33,0,1
