code,away_outcome,away_score,away_team,home_outcome,home_score,home_team,official_1,official_2
1994020001,1,2,Buffalo Sabres,0,1,New York Rangers,Bill McCreary,Kevin Collins
1994020002,1,5,Pittsburgh Penguins,0,3,Tampa Bay Lightning,Dave Jackson,Gordon Broseker
1994020003,0,1,Chicago Blackhawks,1,4,Detroit Red Wings,Faucette,G. Devorski
1994020004,0,3,Calgary Flames,0,3,Winnipeg Jets (1979),Kerry Fraser,Mike Cvik
1994020005,0,1,Anaheim Ducks,1,2,Edmonton Oilers,Richard Trottier,Andy McElman
1994020006,0,1,Dallas Stars,0,1,Vancouver Canucks,Devorsky,Wayne Bonney
1994020007,1,5,St. Louis Blues,0,2,San Jose Sharks,McGeough,McCourt
1994020008,0,3,Toronto Maple Leafs,0,3,Los Angeles Kings,Don Koharski,Ron Asselstine
1994020009,0,1,Washington Capitals,0,1,Hartford Whalers,Paul Stewart,Pierre Champoux
1994020010,0,1,Florida Panthers,1,2,New York Islanders,Don Van Massenhoven,Scott Driscoll
1994020011,0,2,Montréal Canadiens,1,5,New York Rangers,Terry Gregson,Kevin Collins
1994020012,1,3,Quebec Nordiques,0,1,Philadelphia Flyers,D. Marouelli,Brian Murphy
1994020013,1,4,Anaheim Ducks,0,3,Winnipeg Jets (1979),Richard Trottier,Mike Cvik
1994020014,1,7,St. Louis Blues,0,1,Vancouver Canucks,Koharski,Sharrers
1994020015,0,2,Toronto Maple Leafs,1,3,San Jose Sharks,Paul Devorski,McCourt
1994020016,0,1,Philadelphia Flyers,1,4,Boston Bruins,Dan Marouelli,Brian Murphy
1994020017,0,2,New Jersey Devils,0,2,Hartford Whalers,Stephen Walkom,Pierre Champoux
1994020018,0,3,Ottawa Senators,0,3,New York Islanders,Lance Roberts,Scott Driscoll
1994020019,1,5,Buffalo Sabres,0,2,Tampa Bay Lightning,Mark Faucette,Gordon Broseker
1994020020,1,4,Calgary Flames,0,1,Detroit Red Wings,Fraser,Finn
1994020021,1,4,Edmonton Oilers,0,3,Los Angeles Kings,Mike McGeough,Ron Asselstine
1994020022,1,2,Boston Bruins,0,1,New York Rangers,Andy van Hellemond,Leon Stickle
1994020023,1,6,Pittsburgh Penguins,0,5,Florida Panthers,Dave Jackson #8,Gord Broseker #33
1994020024,0,3,Chicago Blackhawks,1,5,Winnipeg Jets (1979),Don Koharski,Wayne Bonney
1994020025,0,4,Edmonton Oilers,1,5,Anaheim Ducks,Paul Devorski,Ron Asselstine
1994020026,0,1,Washington Capitals,1,5,Quebec Nordiques,Steven Walkom,Gerard Gauthier
1994020027,0,3,Philadelphia Flyers,1,4,New York Islanders,Bill McCreary,Leon Stickle
1994020028,0,3,Vancouver Canucks,1,6,Detroit Red Wings,Massenhoven,Driscoll
1994020029,0,4,St. Louis Blues,1,6,Calgary Flames,Paul Stewart,Wayne Bonney
1994020030,1,4,Dallas Stars,0,2,Los Angeles Kings,Terry Gregson,Swede Knox
1994020031,0,1,Ottawa Senators,1,4,Hartford Whalers,Andy van Hellemond,Pierre Champoux
1994020032,0,1,New Jersey Devils,1,2,Buffalo Sabres,Van Massenhoven,Driscoll
1994020033,0,0,Washington Capitals,1,2,Montréal Canadiens,Roberts,Gauthier
1994020034,1,3,Pittsburgh Penguins,0,2,New York Rangers,Kerry Fraser,Pat Dapuzzo
1994020035,0,2,Florida Panthers,1,3,Tampa Bay Lightning,Bill McCreary,Dan McCourt
1994020036,0,2,Vancouver Canucks,1,6,Toronto Maple Leafs,Dan Marouelli,Ron Finn
1994020037,0,1,Edmonton Oilers,1,5,Chicago Blackhawks,Rich Trottier,Brad Lazarowich
