Year,Ref,Team,Actual Score
1994,Don Koharski,New York Rangers,4
1994,Don Koharski,Quebec Nordiques,5
1994,Swede Knox,New York Rangers,4
1994,Swede Knox,Quebec Nordiques,5
1994,Mark Faucette,New York Rangers,8
1994,Mark Faucette,Quebec Nordiques,3
1994,Swede Knox,New York Rangers,8
1994,Swede Knox,Quebec Nordiques,3
1994,Bill McCreary,New York Rangers,4
1994,Bill McCreary,Quebec Nordiques,3
1994,Wayne Bonney,New York Rangers,4
1994,Wayne Bonney,Quebec Nordiques,3
1994,Andy van Hellemond,New York Rangers,3
1994,Andy van Hellemond,Quebec Nordiques,2
1994,Wayne Bonney,New York Rangers,3
1994,Wayne Bonney,Quebec Nordiques,2
1994,Kerry Fraser,New York Rangers,2
1994,Kerry Fraser,Quebec Nordiques,4
1994,Mike Cvik,New York Rangers,2
1994,Mike Cvik,Quebec Nordiques,4
1994,Bob Hodges,New York Rangers,4
1994,Bob Hodges,Quebec Nordiques,2
1994,Dan Marouelli,New York Rangers,4
1994,Dan Marouelli,Quebec Nordiques,2
1994,Bill McCreary,Buffalo Sabres,3
1994,Bill McCreary,Philadelphia Flyers,4
1994,Ron Asselstine,Buffalo Sabres,3
1994,Ron Asselstine,Philadelphia Flyers,4
1994,Rob Shick,Buffalo Sabres,1
1994,Rob Shick,Philadelphia Flyers,3
1994,Ron Asselstine,Buffalo Sabres,1
1994,Ron Asselstine,Philadelphia Flyers,3
1994,Don Koharski,Buffalo Sabres,3
1994,Don Koharski,Philadelphia Flyers,1
1994,Shayne Heyer,Buffalo Sabres,3
1994,Shayne Heyer,Philadelphia Flyers,1
1994,Paul Stewart,Buffalo Sabres,2
1994,Paul Stewart,Philadelphia Flyers,4
1994,Shayne Heyer,Buffalo Sabres,2
1994,Shayne Heyer,Philadelphia Flyers,4
1994,Andy van Hellemond,Buffalo Sabres,4
1994,Andy van Hellemond,Philadelphia Flyers,6
1994,Swede Knox,Buffalo Sabres,4
1994,Swede Knox,Philadelphia Flyers,6
1994,Andy van Hellemond,Pittsburgh Penguins,4
1994,Andy van Hellemond,Washington Capitals,5
1994,Shane Heyer,Pittsburgh Penguins,4
1994,Shane Heyer,Washington Capitals,5
1994,Bill McCreary,Pittsburgh Penguins,5
1994,Bill McCreary,Washington Capitals,3
1994,Shane Heyer,Pittsburgh Penguins,5
1994,Shane Heyer,Washington Capitals,3
1994,Brian Murphy,Pittsburgh Penguins,2
1994,Brian Murphy,Washington Capitals,6
1994,Terry Gregson,Pittsburgh Penguins,2
1994,Terry Gregson,Washington Capitals,6
1994,Brian Murphy,Pittsburgh Penguins,2
1994,Brian Murphy,Washington Capitals,6
1994,Kerry Fraser,Pittsburgh Penguins,2
1994,Kerry Fraser,Washington Capitals,6
1994,Mike McGeough,Pittsburgh Penguins,6
1994,Mike McGeough,Washington Capitals,5
1994,Wayne Bonney,Pittsburgh Penguins,6
1994,Wayne Bonney,Washington Capitals,5
1994,Paul Stewart,Pittsburgh Penguins,7
1994,Paul Stewart,Washington Capitals,1
1994,Wayne Bonney,Pittsburgh Penguins,7
1994,Wayne Bonney,Washington Capitals,1
1994,Don Koharski,Pittsburgh Penguins,3
1994,Don Koharski,Washington Capitals,0
1994,Ray Scapinello,Pittsburgh Penguins,3
1994,Ray Scapinello,Washington Capitals,0
1994,Terry Gregson,Boston Bruins,0
1994,Terry Gregson,New Jersey Devils,5
1994,Wayne Bonney,Boston Bruins,0
1994,Wayne Bonney,New Jersey Devils,5
1994,Don Koharski,Boston Bruins,0
1994,Don Koharski,New Jersey Devils,3
1994,Jay Sharrers,Boston Bruins,0
1994,Jay Sharrers,New Jersey Devils,3
1994,Andy van Hellemond,Boston Bruins,3
1994,Andy van Hellemond,New Jersey Devils,2
1994,Swede Knox,Boston Bruins,3
1994,Swede Knox,New Jersey Devils,2
1994,Mike McGeough,Boston Bruins,0
1994,Mike McGeough,New Jersey Devils,1
1994,Swede Knox,Boston Bruins,0
1994,Swede Knox,New Jersey Devils,1
1994,Bill McCreary,Boston Bruins,2
1994,Bill McCreary,New Jersey Devils,3
1994,Gerard Gauthier,Boston Bruins,2
1994,Gerard Gauthier,New Jersey Devils,3
1994,B. Hodges,Dallas Stars,3
1994,B. Hodges,Detroit Red Wings,4
1994,K. Fraser,Dallas Stars,3
1994,K. Fraser,Detroit Red Wings,4
1994,M. McGeough,Dallas Stars,1
1994,M. McGeough,Detroit Red Wings,4
1994,M. Wheler,Dallas Stars,1
1994,M. Wheler,Detroit Red Wings,4
1994,Collins,Dallas Stars,1
1994,Collins,Detroit Red Wings,5
1994,Marouelli,Dallas Stars,1
1994,Marouelli,Detroit Red Wings,5
1994,Collins,Dallas Stars,4
1994,Collins,Detroit Red Wings,1
1994,Gregson,Dallas Stars,4
1994,Gregson,Detroit Red Wings,1
1994,M. Faucette,Dallas Stars,1
1994,M. Faucette,Detroit Red Wings,3
1994,R. Scapinello,Dallas Stars,1
1994,R. Scapinello,Detroit Red Wings,3
1994,Dan Marouelli,Calgary Flames,4
1994,Dan Marouelli,San Jose Sharks,5
1994,Gerard Gauthier,Calgary Flames,4
1994,Gerard Gauthier,San Jose Sharks,5
1994,Gerard Gauthier,Calgary Flames,4
1994,Gerard Gauthier,San Jose Sharks,5
1994,Paul Devorski,Calgary Flames,4
1994,Paul Devorski,San Jose Sharks,5
1994,Faucette,Calgary Flames,9
1994,Faucette,San Jose Sharks,2
1994,Ron Asselstine,Calgary Flames,9
1994,Ron Asselstine,San Jose Sharks,2
1994,Ron Asselstine,Calgary Flames,6
1994,Ron Asselstine,San Jose Sharks,4
1994,Shick,Calgary Flames,6
1994,Shick,San Jose Sharks,4
1994,Don Koharski,Calgary Flames,5
1994,Don Koharski,San Jose Sharks,0
1994,Pat Dapuzzo,Calgary Flames,5
1994,Pat Dapuzzo,San Jose Sharks,0
1994,Gordon Broseker,Calgary Flames,3
1994,Gordon Broseker,San Jose Sharks,5
1994,Van Hellemond,Calgary Flames,3
1994,Van Hellemond,San Jose Sharks,5
1994,Kerry Fraser,Calgary Flames,4
1994,Kerry Fraser,San Jose Sharks,5
1994,Wayne Bonney,Calgary Flames,4
1994,Wayne Bonney,San Jose Sharks,5
1994,Jean Morin,St. Louis Blues,2
1994,Jean Morin,Vancouver Canucks,1
1994,Paul Stewart,St. Louis Blues,2
1994,Paul Stewart,Vancouver Canucks,1
1994,Jean Morin,St. Louis Blues,3
1994,Jean Morin,Vancouver Canucks,5
1994,Kerry Fraser,St. Louis Blues,3
1994,Kerry Fraser,Vancouver Canucks,5
1994,Gordon Broseker,St. Louis Blues,1
1994,Gordon Broseker,Vancouver Canucks,6
1994,Rob Shick,St. Louis Blues,1
1994,Rob Shick,Vancouver Canucks,6
1994,Gordon Broseker,St. Louis Blues,5
1994,Gordon Broseker,Vancouver Canucks,2
1994,Paul Devorski,St. Louis Blues,5
1994,Paul Devorski,Vancouver Canucks,2
1994,Brian Murphy,St. Louis Blues,5
1994,Brian Murphy,Vancouver Canucks,6
1994,Terry Gregson,St. Louis Blues,5
