code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2015020001,Toronto Maple Leafs,1,Montréal Canadiens,3,Dan O'Rourke,Frederick L'Ecuyer,Montréal Canadiens,Toronto Maple Leafs
2015020002,Chicago Blackhawks,2,New York Rangers,3,Ghislain Hebert,Steve Kozari,New York Rangers,Chicago Blackhawks
2015020003,Calgary Flames,1,Vancouver Canucks,5,Chris Lee,Ian Walsh,Vancouver Canucks,Calgary Flames
2015020004,Los Angeles Kings,1,San Jose Sharks,5,Brian Pochmara,Brad Meier,San Jose Sharks,Los Angeles Kings
2015020005,Boston Bruins,2,Winnipeg Jets,6,Greg Kimmerly,Francois St-Laurent,Winnipeg Jets,Boston Bruins
2015020006,Buffalo Sabres,1,Ottawa Senators,3,Dan O'Rourke,Frederick L'Ecuyer,Ottawa Senators,Buffalo Sabres
2015020007,Tampa Bay Lightning,3,Philadelphia Flyers,2,Gord Dwyer,Dean Morton,Tampa Bay Lightning,Philadelphia Flyers
2015020008,St. Louis Blues,3,Edmonton Oilers,1,Francis Charron,Ghislain Hebert,St. Louis Blues,Edmonton Oilers
2015020009,Nashville Predators,2,Carolina Hurricanes,1,Chris Rooney,Kyle Rehman,Nashville Predators,Carolina Hurricanes
2015020010,Dallas Stars,3,Pittsburgh Penguins,0,Graham Skilliter,Tom Kowal,Dallas Stars,Pittsburgh Penguins
2015020011,Colorado Avalanche,4,Minnesota Wild,5,Brian Pochmara,Brad Meier,Minnesota Wild,Colorado Avalanche
2015020012,New Jersey Devils,1,Winnipeg Jets,3,Greg Kimmerly,Eric Furlatt,Winnipeg Jets,New Jersey Devils
2015020013,Columbus Blue Jackets,2,New York Rangers,4,Marc Joannette,Rob Martell,New York Rangers,Columbus Blue Jackets
2015020014,Detroit Red Wings,4,Toronto Maple Leafs,0,Tim Peel,Thomas John Luxmore,Detroit Red Wings,Toronto Maple Leafs
2015020015,New York Islanders,2,Chicago Blackhawks,3,Jean Hebert,Brad Watson,Chicago Blackhawks,New York Islanders
2015020016,Los Angeles Kings,1,Arizona Coyotes,4,Wes McCauley,Justin St. Pierre ,Arizona Coyotes,Los Angeles Kings
2015020017,Buffalo Sabres,1,Tampa Bay Lightning,4,Kelly Sutherland,Ghislain Hebert,Tampa Bay Lightning,Buffalo Sabres
2015020018,Boston Bruins,2,Montréal Canadiens,4,Dan O'Rourke,Mark Lemelin,Montréal Canadiens,Boston Bruins
2015020019,Toronto Maple Leafs,4,Ottawa Senators,4,Kevin Pollock,Francois St-Laurent,Toronto Maple Leafs,Ottawa Senators
2015020020,Florida Panthers,7,Philadelphia Flyers,1,Gord Dwyer,Dean Morton,Florida Panthers,Philadelphia Flyers
2015020021,New York Rangers,5,Columbus Blue Jackets,2,Dave Jackson,Eric Furlatt,New York Rangers,Columbus Blue Jackets
2015020022,Washington Capitals,5,New Jersey Devils,3,Jean Hebert,Brad Watson,Washington Capitals,New Jersey Devils
2015020023,Carolina Hurricanes,3,Detroit Red Wings,4,Rob Martell,Steve Kozari,Detroit Red Wings,Carolina Hurricanes
2015020024,Nashville Predators,2,Edmonton Oilers,0,Francis Charron,Marc Joannette,Nashville Predators,Edmonton Oilers
