,Ref,Team,Goals per Game
0,Bill McCreary,Buffalo Sabres,2.99
1,Bill McCreary,New York Rangers,2.447619047619048
2,Bill McCreary,Pittsburgh Penguins,2.72
3,Bill McCreary,Tampa Bay Lightning,2.5714285714285716
4,Bill McCreary,Chicago Blackhawks,2.5
5,Bill McCreary,Detroit Red Wings,3.276595744680851
6,Bill McCreary,Calgary Flames,2.7611940298507465
7,Bill McCreary,Winnipeg Jets (1979),3.2
8,Bill McCreary,Anaheim Ducks,2.685185185185185
9,Bill McCreary,Edmonton Oilers,2.7866666666666666
10,Bill McCreary,Dallas Stars,2.732142857142857
11,Bill McCreary,Vancouver Canucks,3.057471264367816
12,Bill McCreary,San Jose Sharks,2.7868852459016393
13,Bill McCreary,St. Louis Blues,2.844155844155844
14,Bill McCreary,Los Angeles Kings,2.5
15,Bill McCreary,Toronto Maple Leafs,2.8018018018018016
16,Bill McCreary,Hartford Whalers,2.125
17,Bill McCreary,Washington Capitals,2.7564102564102564
18,Bill McCreary,Florida Panthers,2.5217391304347827
19,Bill McCreary,New York Islanders,2.3636363636363638
20,Bill McCreary,Montréal Canadiens,2.9444444444444446
21,Bill McCreary,Philadelphia Flyers,3.107843137254902
22,Bill McCreary,Quebec Nordiques,6.0
23,Bill McCreary,Boston Bruins,2.8444444444444446
24,Bill McCreary,New Jersey Devils,2.955223880597015
25,Bill McCreary,Ottawa Senators,3.0776699029126213
26,Bill McCreary,Colorado Avalanche,2.8333333333333335
27,Bill McCreary,Phoenix Coyotes,2.3846153846153846
28,Bill McCreary,Carolina Hurricanes,2.716666666666667
29,Bill McCreary,Nashville Predators,2.5789473684210527
30,Bill McCreary,Atlanta Thrashers,2.8125
31,Bill McCreary,Minnesota Wild,2.108108108108108
32,Bill McCreary,Columbus Blue Jackets,2.230769230769231
33,Bill McCreary,Winnipeg Jets,
34,Bill McCreary,Arizona Coyotes,
35,Bill McCreary,Vegas Golden Knights,
36,Kevin Collins,Buffalo Sabres,2.2857142857142856
37,Kevin Collins,New York Rangers,2.8958333333333335
38,Kevin Collins,Pittsburgh Penguins,2.78125
39,Kevin Collins,Tampa Bay Lightning,2.0357142857142856
40,Kevin Collins,Chicago Blackhawks,3.25
41,Kevin Collins,Detroit Red Wings,3.3333333333333335
42,Kevin Collins,Calgary Flames,3.0
43,Kevin Collins,Winnipeg Jets (1979),4.0
44,Kevin Collins,Anaheim Ducks,2.5
45,Kevin Collins,Edmonton Oilers,3.0
46,Kevin Collins,Dallas Stars,2.2
47,Kevin Collins,Vancouver Canucks,3.111111111111111
48,Kevin Collins,San Jose Sharks,6.0
49,Kevin Collins,St. Louis Blues,3.3333333333333335
