Year,Ref,Team,Actual Score,Predicted Score
1994,Don Koharski,New York Rangers,4,2.2648401826484017
1994,Swede Knox,New York Rangers,4,2.2648401826484017
1994,Mark Faucette,New York Rangers,4,2.3798449612403103
1994,Swede Knox,New York Rangers,4,2.3798449612403103
1994,Bill McCreary,New York Rangers,4,2.473809523809524
1994,Wayne Bonney,New York Rangers,4,2.473809523809524
1994,Andy van Hellemond,New York Rangers,4,2.708333333333333
1994,Wayne Bonney,New York Rangers,4,2.708333333333333
1994,Kerry Fraser,New York Rangers,4,3.082368082368082
1994,Mike Cvik,New York Rangers,4,3.082368082368082
1994,Kerry Fraser,Quebec Nordiques,4,2.75
1994,Mike Cvik,Quebec Nordiques,4,2.75
1994,Bob Hodges,New York Rangers,4,3.8762886597938144
1994,Dan Marouelli,New York Rangers,4,3.8762886597938144
1994,Bill McCreary,Buffalo Sabres,4,3.0739473684210528
1994,Ron Asselstine,Buffalo Sabres,4,3.0739473684210528
1994,Bill McCreary,Philadelphia Flyers,4,2.8634453781512605
1994,Ron Asselstine,Philadelphia Flyers,4,2.8634453781512605
1994,Rob Shick,Buffalo Sabres,4,2.9198564593301435
1994,Ron Asselstine,Buffalo Sabres,4,2.9198564593301435
1994,Rob Shick,Philadelphia Flyers,3,2.842857142857143
1994,Ron Asselstine,Philadelphia Flyers,3,2.842857142857143
1994,Andy van Hellemond,Buffalo Sabres,4,2.0181818181818176
1994,Swede Knox,Buffalo Sabres,4,2.0181818181818176
1994,Andy van Hellemond,Philadelphia Flyers,6,3.020833333333333
1994,Swede Knox,Philadelphia Flyers,6,3.020833333333333
1994,Andy van Hellemond,Pittsburgh Penguins,4,3.2881773399014773
1994,Shane Heyer,Pittsburgh Penguins,4,3.2881773399014773
1994,Andy van Hellemond,Washington Capitals,5,2.2719298245614037
1994,Shane Heyer,Washington Capitals,5,2.2719298245614037
1994,Bill McCreary,Pittsburgh Penguins,4,2.7910344827586204
1994,Shane Heyer,Pittsburgh Penguins,4,2.7910344827586204
1994,Bill McCreary,Washington Capitals,3,2.4834682860998654
1994,Shane Heyer,Washington Capitals,3,2.4834682860998654
1994,Brian Murphy,Pittsburgh Penguins,4,2.8825757575757573
1994,Terry Gregson,Pittsburgh Penguins,4,2.8825757575757573
1994,Brian Murphy,Washington Capitals,6,2.6589366515837103
1994,Terry Gregson,Washington Capitals,6,2.6589366515837103
1994,Brian Murphy,Pittsburgh Penguins,4,3.090909090909091
1994,Kerry Fraser,Pittsburgh Penguins,4,3.090909090909091
1994,Brian Murphy,Washington Capitals,6,2.855614973262032
1994,Kerry Fraser,Washington Capitals,6,2.855614973262032
1994,Mike McGeough,Pittsburgh Penguins,4,3.536363636363636
1994,Wayne Bonney,Pittsburgh Penguins,4,3.536363636363636
1994,Mike McGeough,Washington Capitals,5,2.25
1994,Wayne Bonney,Washington Capitals,5,2.25
1994,Paul Stewart,Pittsburgh Penguins,4,2.7011784511784516
1994,Wayne Bonney,Pittsburgh Penguins,4,2.7011784511784516
1994,Paul Stewart,Washington Capitals,1,2.4285714285714284
1994,Wayne Bonney,Washington Capitals,1,2.4285714285714284
1994,Don Koharski,Pittsburgh Penguins,4,2.9208791208791207
1994,Ray Scapinello,Pittsburgh Penguins,4,2.9208791208791207
1994,Don Koharski,Washington Capitals,0,2.728867623604466
1994,Ray Scapinello,Washington Capitals,0,2.728867623604466
1994,Terry Gregson,Boston Bruins,4,3.283333333333333
1994,Wayne Bonney,Boston Bruins,4,3.283333333333333
1994,Terry Gregson,New Jersey Devils,5,2.576388888888889
1994,Wayne Bonney,New Jersey Devils,5,2.576388888888889
1994,Don Koharski,Boston Bruins,4,3.2620120120120117
1994,Jay Sharrers,Boston Bruins,4,3.2620120120120117
1994,Don Koharski,New Jersey Devils,3,2.599780701754386
1994,Jay Sharrers,New Jersey Devils,3,2.599780701754386
1994,Andy van Hellemond,Boston Bruins,4,2.75
1994,Swede Knox,Boston Bruins,4,2.75
1994,Andy van Hellemond,New Jersey Devils,2,2.013888888888889
1994,Swede Knox,New Jersey Devils,2,2.013888888888889
1994,Mike McGeough,Boston Bruins,4,2.9166666666666665
1994,Swede Knox,Boston Bruins,4,2.9166666666666665
1994,Mike McGeough,New Jersey Devils,1,1.75
1994,Swede Knox,New Jersey Devils,1,1.75
1994,Bill McCreary,Boston Bruins,4,3.1722222222222225
1994,Gerard Gauthier,Boston Bruins,4,3.1722222222222225
1994,Bill McCreary,New Jersey Devils,3,3.1918976545842215
1994,Gerard Gauthier,New Jersey Devils,3,3.1918976545842215
1994,Collins,Detroit Red Wings,5,4.583333333333333
1994,Marouelli,Detroit Red Wings,5,4.583333333333333
1994,Collins,Detroit Red Wings,1,4.25
1994,Gregson,Detroit Red Wings,1,4.25
