,Ref,Team,Wins,Losses,Win %
0,Bill McCreary,Buffalo Sabres,52,35,0.5977011494252874
1,Bill McCreary,New York Rangers,38,53,0.4175824175824176
2,Bill McCreary,Pittsburgh Penguins,31,35,0.4696969696969697
3,Bill McCreary,Tampa Bay Lightning,21,32,0.39622641509433965
4,Bill McCreary,Chicago Blackhawks,24,41,0.36923076923076925
5,Bill McCreary,Detroit Red Wings,52,27,0.6582278481012658
6,Bill McCreary,Calgary Flames,27,31,0.46551724137931033
7,Bill McCreary,Winnipeg Jets (1979),4,5,0.4444444444444444
8,Bill McCreary,Anaheim Ducks,22,24,0.4782608695652174
9,Bill McCreary,Edmonton Oilers,33,31,0.515625
10,Bill McCreary,Dallas Stars,27,22,0.5510204081632653
11,Bill McCreary,Vancouver Canucks,36,38,0.4864864864864865
12,Bill McCreary,San Jose Sharks,30,22,0.5769230769230769
13,Bill McCreary,St. Louis Blues,39,26,0.6
14,Bill McCreary,Los Angeles Kings,25,40,0.38461538461538464
15,Bill McCreary,Toronto Maple Leafs,52,50,0.5098039215686274
16,Bill McCreary,Hartford Whalers,3,4,0.42857142857142855
17,Bill McCreary,Washington Capitals,35,36,0.49295774647887325
18,Bill McCreary,Florida Panthers,30,31,0.4918032786885246
19,Bill McCreary,New York Islanders,16,34,0.32
20,Bill McCreary,Montréal Canadiens,44,35,0.5569620253164557
21,Bill McCreary,Philadelphia Flyers,52,37,0.5842696629213483
22,Bill McCreary,Quebec Nordiques,0,0,
23,Bill McCreary,Boston Bruins,45,37,0.5487804878048781
24,Bill McCreary,New Jersey Devils,35,22,0.6140350877192983
25,Bill McCreary,Ottawa Senators,50,45,0.5263157894736842
26,Bill McCreary,Colorado Avalanche,29,32,0.47540983606557374
27,Bill McCreary,Phoenix Coyotes,21,28,0.42857142857142855
28,Bill McCreary,Carolina Hurricanes,25,30,0.45454545454545453
29,Bill McCreary,Nashville Predators,15,19,0.4411764705882353
30,Bill McCreary,Atlanta Thrashers,14,13,0.5185185185185185
31,Bill McCreary,Minnesota Wild,12,17,0.41379310344827586
32,Bill McCreary,Columbus Blue Jackets,7,14,0.3333333333333333
33,Bill McCreary,Winnipeg Jets,0,0,
34,Bill McCreary,Arizona Coyotes,0,0,
35,Bill McCreary,Vegas Golden Knights,0,0,
36,Kevin Collins,Buffalo Sabres,8,8,0.5
37,Kevin Collins,New York Rangers,20,21,0.4878048780487805
38,Kevin Collins,Pittsburgh Penguins,13,16,0.4482758620689655
39,Kevin Collins,Tampa Bay Lightning,4,20,0.16666666666666666
40,Kevin Collins,Chicago Blackhawks,5,2,0.7142857142857143
41,Kevin Collins,Detroit Red Wings,7,5,0.5833333333333334
42,Kevin Collins,Calgary Flames,3,1,0.75
43,Kevin Collins,Winnipeg Jets (1979),0,1,0.0
44,Kevin Collins,Anaheim Ducks,3,3,0.5
45,Kevin Collins,Edmonton Oilers,2,0,1.0
46,Kevin Collins,Dallas Stars,3,2,0.6
47,Kevin Collins,Vancouver Canucks,3,3,0.5
48,Kevin Collins,San Jose Sharks,1,0,1.0
49,Kevin Collins,St. Louis Blues,5,3,0.625
50,Kevin Collins,Los Angeles Kings,3,8,0.2727272727272727
51,Kevin Collins,Toronto Maple Leafs,3,12,0.2
52,Kevin Collins,Hartford Whalers,16,12,0.5714285714285714
53,Kevin Collins,Washington Capitals,8,10,0.4444444444444444
54,Kevin Collins,Florida Panthers,16,6,0.7272727272727273
55,Kevin Collins,New York Islanders,14,17,0.45161290322580644
56,Kevin Collins,Montréal Canadiens,5,13,0.2777777777777778
57,Kevin Collins,Philadelphia Flyers,10,16,0.38461538461538464
58,Kevin Collins,Quebec Nordiques,4,0,1.0
59,Kevin Collins,Boston Bruins,37,27,0.578125
60,Kevin Collins,New Jersey Devils,26,12,0.6842105263157895
61,Kevin Collins,Ottawa Senators,9,6,0.6
62,Kevin Collins,Colorado Avalanche,6,5,0.5454545454545454
63,Kevin Collins,Phoenix Coyotes,0,3,0.0
64,Kevin Collins,Carolina Hurricanes,6,4,0.6
65,Kevin Collins,Nashville Predators,0,3,0.0
66,Kevin Collins,Atlanta Thrashers,0,1,0.0
67,Kevin Collins,Minnesota Wild,0,0,
68,Kevin Collins,Columbus Blue Jackets,0,0,
69,Kevin Collins,Winnipeg Jets,0,0,
70,Kevin Collins,Arizona Coyotes,0,0,
71,Kevin Collins,Vegas Golden Knights,0,0,
72,Dave Jackson,Buffalo Sabres,35,46,0.43209876543209874
73,Dave Jackson,New York Rangers,37,38,0.49333333333333335
74,Dave Jackson,Pittsburgh Penguins,39,38,0.5064935064935064
75,Dave Jackson,Tampa Bay Lightning,47,47,0.5
76,Dave Jackson,Chicago Blackhawks,42,33,0.56
77,Dave Jackson,Detroit Red Wings,38,34,0.5277777777777778
78,Dave Jackson,Calgary Flames,36,48,0.42857142857142855
79,Dave Jackson,Winnipeg Jets (1979),3,5,0.375
80,Dave Jackson,Anaheim Ducks,44,41,0.5176470588235295
81,Dave Jackson,Edmonton Oilers,42,47,0.47191011235955055
82,Dave Jackson,Dallas Stars,47,42,0.5280898876404494
83,Dave Jackson,Vancouver Canucks,52,27,0.6582278481012658
84,Dave Jackson,San Jose Sharks,36,42,0.46153846153846156
85,Dave Jackson,St. Louis Blues,42,27,0.6086956521739131
86,Dave Jackson,Los Angeles Kings,42,42,0.5
87,Dave Jackson,Toronto Maple Leafs,48,50,0.4897959183673469
88,Dave Jackson,Hartford Whalers,4,3,0.5714285714285714
89,Dave Jackson,Washington Capitals,52,37,0.5842696629213483
90,Dave Jackson,Florida Panthers,32,42,0.43243243243243246
91,Dave Jackson,New York Islanders,42,56,0.42857142857142855
92,Dave Jackson,Montréal Canadiens,58,51,0.5321100917431193
93,Dave Jackson,Philadelphia Flyers,61,40,0.6039603960396039
94,Dave Jackson,Quebec Nordiques,2,0,1.0
95,Dave Jackson,Boston Bruins,51,52,0.49514563106796117
96,Dave Jackson,New Jersey Devils,48,44,0.5217391304347826
97,Dave Jackson,Ottawa Senators,45,41,0.5232558139534884
98,Dave Jackson,Colorado Avalanche,36,42,0.46153846153846156
99,Dave Jackson,Phoenix Coyotes,28,34,0.45161290322580644
100,Dave Jackson,Carolina Hurricanes,30,38,0.4411764705882353
101,Dave Jackson,Nashville Predators,29,33,0.46774193548387094
102,Dave Jackson,Atlanta Thrashers,11,26,0.2972972972972973
103,Dave Jackson,Minnesota Wild,27,24,0.5294117647058824
104,Dave Jackson,Columbus Blue Jackets,24,35,0.4067796610169492
105,Dave Jackson,Winnipeg Jets,11,13,0.4583333333333333
106,Dave Jackson,Arizona Coyotes,5,13,0.2777777777777778
107,Dave Jackson,Vegas Golden Knights,5,0,1.0
108,Gordon Broseker,Buffalo Sabres,12,4,0.75
109,Gordon Broseker,New York Rangers,16,13,0.5517241379310345
110,Gordon Broseker,Pittsburgh Penguins,18,8,0.6923076923076923
111,Gordon Broseker,Tampa Bay Lightning,10,17,0.37037037037037035
112,Gordon Broseker,Chicago Blackhawks,2,2,0.5
113,Gordon Broseker,Detroit Red Wings,2,3,0.4
114,Gordon Broseker,Calgary Flames,3,6,0.3333333333333333
115,Gordon Broseker,Winnipeg Jets (1979),0,2,0.0
116,Gordon Broseker,Anaheim Ducks,3,2,0.6
117,Gordon Broseker,Edmonton Oilers,2,5,0.2857142857142857
118,Gordon Broseker,Dallas Stars,5,6,0.45454545454545453
119,Gordon Broseker,Vancouver Canucks,3,3,0.5
120,Gordon Broseker,San Jose Sharks,1,3,0.25
121,Gordon Broseker,St. Louis Blues,4,4,0.5
